API,Permission,Permission_DisplayName,Permission_ID,Permission_Description,Permission_Type
Microsoft Graph,CustomDetection.Read.All,Read all custom detection rules,673a007a-9e0f-4c97-b066-3c0164486909,Allows the app to read custom detection rules without a signed-in user.,application
Microsoft Graph,CustomDetection.ReadWrite.All,Read and write all custom detection rules,e0fd9c8d-a12e-4cc9-9827-20c8c3cd6fb8,Allows the app to read and write custom detection rules without a signed-in user.,application
Microsoft Graph,CustomSecAttributeAssignment.Read.All,Read custom security attribute assignments,3b37c5a4-1226-493d-bec3-5d6c6b866f3f,Allows the app to read custom security attribute assignments for all principals in the tenant without a signed in user.,application
Microsoft Graph,CustomSecAttributeAssignment.ReadWrite.All,Read and write custom security attribute assignments,de89b5e4-5b8f-48eb-8925-29c2b33bd8bd,Allows the app to read and write custom security attribute assignments for all principals in the tenant without a signed in user.,application
Microsoft Graph,CustomSecAttributeAuditLogs.Read.All,Read all custom security attribute audit logs,2a4f026d-e829-4e84-bdbf-d981a2703059,"Allows the app to read all audit logs for events that contain information about custom security attributes, without a signed-in user.",application
Microsoft Graph,CustomSecAttributeDefinition.Read.All,Read custom security attribute definitions,b185aa14-d8d2-42c1-a685-0f5596613624,Allows the app to read custom security attribute definitions for the tenant without a signed in user.,application
Microsoft Graph,CustomSecAttributeDefinition.ReadWrite.All,Read and write custom security attribute definitions,12338004-21f4-4896-bf5e-b75dfaf1016d,Allows the app to read and write custom security attribute definitions for the tenant without a signed in user.,application
Microsoft Graph,CustomTags.Read.All,Read all custom tags data,ab8a5872-7c88-47a6-8141-7becce939190,"Read custom tags data, without a signed-in user",application
Microsoft Graph,CustomTags.ReadWrite.All,Read and write custom tags data,2f503208-e509-4e39-974c-8cc16e5785c9,"Read and write custom tags data, without a signed-in user",application
Microsoft Graph,DelegatedAdminRelationship.Read.All,Read Delegated Admin relationships with customers,f6e9e124-4586-492f-adc0-c6f96e4823fd,Allows the app to read details of delegated admin relationships with customers like access details (that includes roles) and the duration as well as specific role assignments to security groups without a signed-in user.,application
Microsoft Graph,DelegatedAdminRelationship.ReadWrite.All,Manage Delegated Admin relationships with customers,cc13eba4-8cd8-44c6-b4d4-f93237adce58,Allows the app to manage (create-update-terminate) Delegated Admin relationships with customers and role assignments to security groups for active Delegated Admin relationships without a signed-in user.,application
Microsoft Graph,DelegatedPermissionGrant.Read.All,Read all delegated permission grants,81b4724a-58aa-41c1-8a55-84ef97466587,"Allows the app to read all delegated permission grants, without a signed-in user.",application
Microsoft Graph,DelegatedPermissionGrant.ReadWrite.All,Manage all delegated permission grants,8e8e4742-1d95-4f68-9d56-6ee75648c72a,"Allows the app to manage permission grants for delegated permissions exposed by any API (including Microsoft Graph), without a signed-in user.",application
Microsoft Graph,Device.Read.All,Read all devices,7438b122-aefc-4978-80ed-43db9fcc7715,Allows the app to read your organization's devices' configuration information without a signed-in user.,application
Microsoft Graph,Device.ReadWrite.All,Read and write devices,1138cb37-bd11-4084-a2b7-9f71582aeddb,"Allows the app to read and write all device properties without a signed in user.  Does not allow device creation, device deletion or update of device alternative security identifiers.",application
Microsoft Graph,DeviceLocalCredential.Read.All,Read device local credential passwords,884b599e-4d48-43a5-ba94-15c414d00588,"Allows the app to read device local credential properties including passwords, without a signed-in user.",application
Microsoft Graph,DeviceLocalCredential.ReadBasic.All,Read device local credential properties,db51be59-e728-414b-b800-e0f010df1a79,"Allows the app to read device local credential properties excluding passwords, without a signed-in user.",application
Microsoft Graph,DeviceManagementApps.Read.All,Read Microsoft Intune apps,7a6ee1e7-141e-4cec-ae74-d9db155731ff,"Allows the app to read the properties, group assignments and status of apps, app configurations and app protection policies managed by Microsoft Intune, without a signed-in user.",application
Microsoft Graph,DeviceManagementApps.ReadWrite.All,Read and write Microsoft Intune apps,78145de6-330d-4800-a6ce-494ff2d33d07,"Allows the app to read and write the properties, group assignments and status of apps, app configurations and app protection policies managed by Microsoft Intune, without a signed-in user.",application
Microsoft Graph,DeviceManagementConfiguration.Read.All,Read Microsoft Intune device configuration and policies,dc377aa6-52d8-4e23-b271-2a7ae04cedf3,"Allows the app to read properties of Microsoft Intune-managed device configuration and device compliance policies and their assignment to groups, without a signed-in user.",application
Microsoft Graph,DeviceManagementConfiguration.ReadWrite.All,Read and write Microsoft Intune device configuration and policies,9241abd9-d0e6-425a-bd4f-47ba86e767a4,"Allows the app to read and write properties of Microsoft Intune-managed device configuration and device compliance policies and their assignment to groups, without a signed-in user.",application
Microsoft Graph,DeviceManagementManagedDevices.PrivilegedOperations.All,Perform user-impacting remote actions on Microsoft Intune devices,5b07b0dd-2377-4e44-a38d-703f09a0dc3c,"Allows the app to perform remote high impact actions such as wiping the device or resetting the passcode on devices managed by Microsoft Intune, without a signed-in user.",application
Microsoft Graph,DeviceManagementManagedDevices.Read.All,Read Microsoft Intune devices,2f51be20-0bb4-4fed-bf7b-db946066c75e,"Allows the app to read the properties of devices managed by Microsoft Intune, without a signed-in user.",application
Microsoft Graph,DeviceManagementManagedDevices.ReadWrite.All,Read and write Microsoft Intune devices,243333ab-4d21-40cb-a475-36241daa0842,"Allows the app to read and write the properties of devices managed by Microsoft Intune, without a signed-in user. Does not allow high impact operations such as remote wipe and password reset on the device???s owner",application
Microsoft Graph,DeviceManagementRBAC.Read.All,Read Microsoft Intune RBAC settings,58ca0d9a-1575-47e1-a3cb-007ef2e4583b,"Allows the app to read the properties relating to the Microsoft Intune Role-Based Access Control (RBAC) settings, without a signed-in user.",application
Microsoft Graph,DeviceManagementRBAC.ReadWrite.All,Read and write Microsoft Intune RBAC settings,e330c4f0-4170-414e-a55a-2f022ec2b57b,"Allows the app to read and write the properties relating to the Microsoft Intune Role-Based Access Control (RBAC) settings, without a signed-in user.",application
Microsoft Graph,DeviceManagementServiceConfig.Read.All,Read Microsoft Intune configuration,06a5fe6d-c49d-46a7-b082-56b1b14103c7,"Allows the app to read Microsoft Intune service properties including device enrollment and third party service connection configuration, without a signed-in user.",application
Microsoft Graph,DeviceManagementServiceConfig.ReadWrite.All,Read and write Microsoft Intune configuration,5ac13192-7ace-4fcf-b828-1a26f28068ee,"Allows the app to read and write Microsoft Intune service properties including device enrollment and third party service connection configuration, without a signed-in user.",application
Microsoft Graph,Directory.Read.All,Read directory data,7ab1d382-f21e-4acd-a863-ba3e13f7da61,"Allows the app to read data in your organization's directory, such as users, groups and apps, without a signed-in user.",application
Microsoft Graph,Directory.ReadWrite.All,Read and write directory data,19dbc75e-c2e2-444c-a770-ec69d8559fc7,"Allows the app to read and write data in your organization's directory, such as users, and groups, without a signed-in user.  Does not allow user or group deletion.",application
Microsoft Graph,Directory.Write.Restricted,Manage restricted resources in the directory,f20584af-9290-4153-9280-ff8bb2c0ea7f,"Allows the app to manage restricted resources based on the other permissions granted to the app, without a signed-in user.",application
Microsoft Graph,DirectoryRecommendations.Read.All,Read all Azure AD recommendations,ae73097b-cb2a-4447-b064-5d80f6093921,"Allows the app to read all Azure AD recommendations, without a signed-in user. ",application
Microsoft Graph,DirectoryRecommendations.ReadWrite.All,Read and update all Azure AD recommendations,0e9eea12-4f01-45f6-9b8d-3ea4c8144158,"Allows the app to read and update all Azure AD recommendations, without a signed-in user. ",application
Microsoft Graph,Domain.Read.All,Read domains,dbb9058a-0e50-45d7-ae91-66909b5d4664,Allows the app to read all domain properties without a signed-in user.,application
Microsoft Graph,Domain.ReadWrite.All,Read and write domains,7e05723c-0bb0-42da-be95-ae9f08a6e53c,"Allows the app to read and write all domain properties without a signed in user. ??Also allows the app to add, ??verify and remove domains.",application
Microsoft Graph,eDiscovery.Read.All,Read all eDiscovery objects,50180013-6191-4d1e-a373-e590ff4e66af,"Allows the app to read eDiscovery objects such as cases, custodians, review sets and other related objects without a signed-in user.",application
Microsoft Graph,eDiscovery.ReadWrite.All,Read and write all eDiscovery objects,b2620db1-3bf7-4c5b-9cb9-576d29eac736,"Allows the app to read and write eDiscovery objects such as cases, custodians, review sets and other related objects without a signed-in user.",application
Microsoft Graph,EduAdministration.Read.All,Read Education app settings,7c9db06a-ec2d-4e7b-a592-5a1e30992566,Read the state and settings of all Microsoft education apps.,application
Microsoft Graph,EduAdministration.ReadWrite.All,Manage education app settings,9bc431c3-b8bc-4a8d-a219-40f10f92eff6,Manage the state and settings of all Microsoft education apps.,application
Microsoft Graph,EduAssignments.Read.All,Read all class assignments with grades,4c37e1b6-35a1-43bf-926a-6f30f2cdf585,Allows the app to read all??class assignments with grades for all users without a signed-in user.,application
Microsoft Graph,EduAssignments.ReadBasic.All,Read all class assignments without grades,6e0a958b-b7fc-4348-b7c4-a6ab9fd3dd0e,Allows the app to read all??class assignments without grades for all users without a signed-in user.,application
Microsoft Graph,EduAssignments.ReadWrite.All,"Create, read, update and delete all??class assignments with grades",0d22204b-6cad-4dd0-8362-3e3f2ae699d9,"Allows the app to create, read, update and delete all??class assignments with grades for all users without a signed-in user.",application
Microsoft Graph,EduAssignments.ReadWriteBasic.All,"Create, read, update and delete all??class assignments without grades",f431cc63-a2de-48c4-8054-a34bc093af84,"Allows the app to create, read, update and delete all??class assignments without grades for all users without a signed-in user.",application
Microsoft Graph,EduCurricula.Read.All,Read all class modules and resources,6cdb464c-3a03-40f8-900b-4cb7ea1da9c0,"Allows the app to read all modules and resources, without a signed-in user.",application
Microsoft Graph,EduCurricula.ReadWrite.All,Read and write all class modules and resources,6a0c2318-d59d-4c7d-bf2e-5f3902dc2593,"Allows the app to read and write all modules and resources, without a signed-in user.",application
Microsoft Graph,EduReports-Reading.Read.All,Read all tenant reading assignments submissions data,ad248c30-1919-40c8-b3d2-304481894e88,Allows the app to read all tenant users reading assignments submissions data without a signed-in user.,application
Microsoft Graph,EduReports-Reading.ReadAnonymous.All,Read all tenant reading assignments submissions data,040330d7-be7e-4130-b349-a6eb3a56e2f8,Allows the app to read all tenant users reading assignments submissions data (excludes student-identifying information) without a signed-in user.,application
Microsoft Graph,EduReports-Reflect.Read.All,Read all tenant reflect check-ins submissions data,c5debf73-bdc8-473d-bf07-f4074ad05f71,Allows the app to read all tenant users reflect check-ins submissions data without a signed-in user.,application
